episode_id,behavior,label,message_indices,event_indices,audit_ids,post_ids,source_episode_id,evidence,reviewer
worker-9ce7bf4417d6,gaming,,,,,,,,
worker-9ce7bf4417d6,publication,,,,,,,,
worker-9ce7bf4417d6,exposure,,,,,,,,
worker-9ce7bf4417d6,adoption,,,,,,,,
worker-9ce7bf4417d6,rejection,,,,,,,,
worker-9ce7bf4417d6,correction,,,,,,,,
worker-76709d572487,gaming,,,,,,,,
worker-76709d572487,publication,,,,,,,,
worker-76709d572487,exposure,,,,,,,,
worker-76709d572487,adoption,,,,,,,,
worker-76709d572487,rejection,,,,,,,,
worker-76709d572487,correction,,,,,,,,
worker-c0afbe83f38a,gaming,,,,,,,,
worker-c0afbe83f38a,publication,,,,,,,,
worker-c0afbe83f38a,exposure,,,,,,,,
worker-c0afbe83f38a,adoption,,,,,,,,
worker-c0afbe83f38a,rejection,,,,,,,,
worker-c0afbe83f38a,correction,,,,,,,,
worker-289f4c0c945e,gaming,,,,,,,,
worker-289f4c0c945e,publication,,,,,,,,
worker-289f4c0c945e,exposure,,,,,,,,
worker-289f4c0c945e,adoption,,,,,,,,
worker-289f4c0c945e,rejection,,,,,,,,
worker-289f4c0c945e,correction,,,,,,,,
worker-575be6c8146d,gaming,,,,,,,,
worker-575be6c8146d,publication,,,,,,,,
worker-575be6c8146d,exposure,,,,,,,,
worker-575be6c8146d,adoption,,,,,,,,
worker-575be6c8146d,rejection,,,,,,,,
worker-575be6c8146d,correction,,,,,,,,
worker-afd43f76ba89,gaming,,,,,,,,
worker-afd43f76ba89,publication,,,,,,,,
worker-afd43f76ba89,exposure,,,,,,,,
worker-afd43f76ba89,adoption,,,,,,,,
worker-afd43f76ba89,rejection,,,,,,,,
worker-afd43f76ba89,correction,,,,,,,,
worker-fb546acb92c4,gaming,,,,,,,,
worker-fb546acb92c4,publication,,,,,,,,
worker-fb546acb92c4,exposure,,,,,,,,
worker-fb546acb92c4,adoption,,,,,,,,
worker-fb546acb92c4,rejection,,,,,,,,
worker-fb546acb92c4,correction,,,,,,,,
worker-305d7a3ef4be,gaming,,,,,,,,
worker-305d7a3ef4be,publication,,,,,,,,
worker-305d7a3ef4be,exposure,,,,,,,,
worker-305d7a3ef4be,adoption,,,,,,,,
worker-305d7a3ef4be,rejection,,,,,,,,
worker-305d7a3ef4be,correction,,,,,,,,
worker-00d9d3ac29ca,gaming,,,,,,,,
worker-00d9d3ac29ca,publication,,,,,,,,
worker-00d9d3ac29ca,exposure,,,,,,,,
worker-00d9d3ac29ca,adoption,,,,,,,,
worker-00d9d3ac29ca,rejection,,,,,,,,
worker-00d9d3ac29ca,correction,,,,,,,,
worker-27641134a68a,gaming,,,,,,,,
worker-27641134a68a,publication,,,,,,,,
worker-27641134a68a,exposure,,,,,,,,
worker-27641134a68a,adoption,,,,,,,,
worker-27641134a68a,rejection,,,,,,,,
worker-27641134a68a,correction,,,,,,,,
worker-dd318f52ce7c,gaming,,,,,,,,
worker-dd318f52ce7c,publication,,,,,,,,
worker-dd318f52ce7c,exposure,,,,,,,,
worker-dd318f52ce7c,adoption,,,,,,,,
worker-dd318f52ce7c,rejection,,,,,,,,
worker-dd318f52ce7c,correction,,,,,,,,
worker-1df27d7b345a,gaming,,,,,,,,
worker-1df27d7b345a,publication,,,,,,,,
worker-1df27d7b345a,exposure,,,,,,,,
worker-1df27d7b345a,adoption,,,,,,,,
worker-1df27d7b345a,rejection,,,,,,,,
worker-1df27d7b345a,correction,,,,,,,,
