episode_id,behavior,label,message_indices,event_indices,audit_ids,post_ids,source_episode_id,evidence,reviewer
worker-9681211fa788,gaming,,,,,,,,
worker-9681211fa788,publication,,,,,,,,
worker-9681211fa788,exposure,,,,,,,,
worker-9681211fa788,adoption,,,,,,,,
worker-9681211fa788,rejection,,,,,,,,
worker-9681211fa788,correction,,,,,,,,
worker-9219ac5b48f8,gaming,,,,,,,,
worker-9219ac5b48f8,publication,,,,,,,,
worker-9219ac5b48f8,exposure,,,,,,,,
worker-9219ac5b48f8,adoption,,,,,,,,
worker-9219ac5b48f8,rejection,,,,,,,,
worker-9219ac5b48f8,correction,,,,,,,,
worker-ea4c5120d4e6,gaming,,,,,,,,
worker-ea4c5120d4e6,publication,,,,,,,,
worker-ea4c5120d4e6,exposure,,,,,,,,
worker-ea4c5120d4e6,adoption,,,,,,,,
worker-ea4c5120d4e6,rejection,,,,,,,,
worker-ea4c5120d4e6,correction,,,,,,,,
worker-1bd10fd99741,gaming,,,,,,,,
worker-1bd10fd99741,publication,,,,,,,,
worker-1bd10fd99741,exposure,,,,,,,,
worker-1bd10fd99741,adoption,,,,,,,,
worker-1bd10fd99741,rejection,,,,,,,,
worker-1bd10fd99741,correction,,,,,,,,
worker-52f1a3e7637d,gaming,,,,,,,,
worker-52f1a3e7637d,publication,,,,,,,,
worker-52f1a3e7637d,exposure,,,,,,,,
worker-52f1a3e7637d,adoption,,,,,,,,
worker-52f1a3e7637d,rejection,,,,,,,,
worker-52f1a3e7637d,correction,,,,,,,,
worker-fbab81041603,gaming,,,,,,,,
worker-fbab81041603,publication,,,,,,,,
worker-fbab81041603,exposure,,,,,,,,
worker-fbab81041603,adoption,,,,,,,,
worker-fbab81041603,rejection,,,,,,,,
worker-fbab81041603,correction,,,,,,,,
worker-5821db971b18,gaming,,,,,,,,
worker-5821db971b18,publication,,,,,,,,
worker-5821db971b18,exposure,,,,,,,,
worker-5821db971b18,adoption,,,,,,,,
worker-5821db971b18,rejection,,,,,,,,
worker-5821db971b18,correction,,,,,,,,
worker-d823e47ad4c4,gaming,,,,,,,,
worker-d823e47ad4c4,publication,,,,,,,,
worker-d823e47ad4c4,exposure,,,,,,,,
worker-d823e47ad4c4,adoption,,,,,,,,
worker-d823e47ad4c4,rejection,,,,,,,,
worker-d823e47ad4c4,correction,,,,,,,,
worker-f1f710d84479,gaming,,,,,,,,
worker-f1f710d84479,publication,,,,,,,,
worker-f1f710d84479,exposure,,,,,,,,
worker-f1f710d84479,adoption,,,,,,,,
worker-f1f710d84479,rejection,,,,,,,,
worker-f1f710d84479,correction,,,,,,,,
worker-26755bb31749,gaming,,,,,,,,
worker-26755bb31749,publication,,,,,,,,
worker-26755bb31749,exposure,,,,,,,,
worker-26755bb31749,adoption,,,,,,,,
worker-26755bb31749,rejection,,,,,,,,
worker-26755bb31749,correction,,,,,,,,
worker-cd3210d33f93,gaming,,,,,,,,
worker-cd3210d33f93,publication,,,,,,,,
worker-cd3210d33f93,exposure,,,,,,,,
worker-cd3210d33f93,adoption,,,,,,,,
worker-cd3210d33f93,rejection,,,,,,,,
worker-cd3210d33f93,correction,,,,,,,,
worker-03126db75143,gaming,,,,,,,,
worker-03126db75143,publication,,,,,,,,
worker-03126db75143,exposure,,,,,,,,
worker-03126db75143,adoption,,,,,,,,
worker-03126db75143,rejection,,,,,,,,
worker-03126db75143,correction,,,,,,,,
