episode_id,behavior,label,message_indices,event_indices,audit_ids,post_ids,source_episode_id,evidence,reviewer
worker-1cfa9f8aebb6,gaming,,,,,,,,
worker-1cfa9f8aebb6,publication,,,,,,,,
worker-1cfa9f8aebb6,exposure,,,,,,,,
worker-1cfa9f8aebb6,adoption,,,,,,,,
worker-1cfa9f8aebb6,rejection,,,,,,,,
worker-1cfa9f8aebb6,correction,,,,,,,,
worker-53b41e4a73e1,gaming,,,,,,,,
worker-53b41e4a73e1,publication,,,,,,,,
worker-53b41e4a73e1,exposure,,,,,,,,
worker-53b41e4a73e1,adoption,,,,,,,,
worker-53b41e4a73e1,rejection,,,,,,,,
worker-53b41e4a73e1,correction,,,,,,,,
worker-4b6fc9699479,gaming,,,,,,,,
worker-4b6fc9699479,publication,,,,,,,,
worker-4b6fc9699479,exposure,,,,,,,,
worker-4b6fc9699479,adoption,,,,,,,,
worker-4b6fc9699479,rejection,,,,,,,,
worker-4b6fc9699479,correction,,,,,,,,
worker-78c73023435d,gaming,,,,,,,,
worker-78c73023435d,publication,,,,,,,,
worker-78c73023435d,exposure,,,,,,,,
worker-78c73023435d,adoption,,,,,,,,
worker-78c73023435d,rejection,,,,,,,,
worker-78c73023435d,correction,,,,,,,,
worker-c00bcc93fd5d,gaming,,,,,,,,
worker-c00bcc93fd5d,publication,,,,,,,,
worker-c00bcc93fd5d,exposure,,,,,,,,
worker-c00bcc93fd5d,adoption,,,,,,,,
worker-c00bcc93fd5d,rejection,,,,,,,,
worker-c00bcc93fd5d,correction,,,,,,,,
worker-85b44284a67d,gaming,,,,,,,,
worker-85b44284a67d,publication,,,,,,,,
worker-85b44284a67d,exposure,,,,,,,,
worker-85b44284a67d,adoption,,,,,,,,
worker-85b44284a67d,rejection,,,,,,,,
worker-85b44284a67d,correction,,,,,,,,
worker-4f4ae38e8c51,gaming,,,,,,,,
worker-4f4ae38e8c51,publication,,,,,,,,
worker-4f4ae38e8c51,exposure,,,,,,,,
worker-4f4ae38e8c51,adoption,,,,,,,,
worker-4f4ae38e8c51,rejection,,,,,,,,
worker-4f4ae38e8c51,correction,,,,,,,,
worker-a2333d251c79,gaming,,,,,,,,
worker-a2333d251c79,publication,,,,,,,,
worker-a2333d251c79,exposure,,,,,,,,
worker-a2333d251c79,adoption,,,,,,,,
worker-a2333d251c79,rejection,,,,,,,,
worker-a2333d251c79,correction,,,,,,,,
worker-8b75c9ba5b7b,gaming,,,,,,,,
worker-8b75c9ba5b7b,publication,,,,,,,,
worker-8b75c9ba5b7b,exposure,,,,,,,,
worker-8b75c9ba5b7b,adoption,,,,,,,,
worker-8b75c9ba5b7b,rejection,,,,,,,,
worker-8b75c9ba5b7b,correction,,,,,,,,
worker-81608e6b6a75,gaming,,,,,,,,
worker-81608e6b6a75,publication,,,,,,,,
worker-81608e6b6a75,exposure,,,,,,,,
worker-81608e6b6a75,adoption,,,,,,,,
worker-81608e6b6a75,rejection,,,,,,,,
worker-81608e6b6a75,correction,,,,,,,,
worker-347d8ff98ac4,gaming,,,,,,,,
worker-347d8ff98ac4,publication,,,,,,,,
worker-347d8ff98ac4,exposure,,,,,,,,
worker-347d8ff98ac4,adoption,,,,,,,,
worker-347d8ff98ac4,rejection,,,,,,,,
worker-347d8ff98ac4,correction,,,,,,,,
worker-842182fce81f,gaming,,,,,,,,
worker-842182fce81f,publication,,,,,,,,
worker-842182fce81f,exposure,,,,,,,,
worker-842182fce81f,adoption,,,,,,,,
worker-842182fce81f,rejection,,,,,,,,
worker-842182fce81f,correction,,,,,,,,
