episode_id,behavior,label,message_indices,event_indices,audit_ids,post_ids,source_episode_id,evidence,reviewer
worker-1cfa9f8aebb6,gaming,,,,,,,,
worker-1cfa9f8aebb6,publication,,,,,,,,
worker-1cfa9f8aebb6,exposure,,,,,,,,
worker-1cfa9f8aebb6,adoption,,,,,,,,
worker-1cfa9f8aebb6,rejection,,,,,,,,
worker-1cfa9f8aebb6,correction,,,,,,,,
worker-53b41e4a73e1,gaming,,,,,,,,
worker-53b41e4a73e1,publication,,,,,,,,
worker-53b41e4a73e1,exposure,,,,,,,,
worker-53b41e4a73e1,adoption,,,,,,,,
worker-53b41e4a73e1,rejection,,,,,,,,
worker-53b41e4a73e1,correction,,,,,,,,
worker-4b6fc9699479,gaming,,,,,,,,
worker-4b6fc9699479,publication,,,,,,,,
worker-4b6fc9699479,exposure,,,,,,,,
worker-4b6fc9699479,adoption,,,,,,,,
worker-4b6fc9699479,rejection,,,,,,,,
worker-4b6fc9699479,correction,,,,,,,,
worker-78c73023435d,gaming,,,,,,,,
worker-78c73023435d,publication,,,,,,,,
worker-78c73023435d,exposure,,,,,,,,
worker-78c73023435d,adoption,,,,,,,,
worker-78c73023435d,rejection,,,,,,,,
worker-78c73023435d,correction,,,,,,,,
